Mes,Month_num,Trades,VIX_mean,VIX_median,FWD_01_mean,FWD_01_WR,FWD_05_mean,FWD_05_WR,FWD_25_mean,FWD_25_WR,FWD_50_mean,FWD_50_WR,FWD_90_mean,FWD_90_WR
Ene,1,410,23.487585365853658,22.79,-6.6537195121951225,28.04878048780488,-10.351158536585366,21.463414634146343,-5.805609756097561,34.390243902439025,38.69469512195122,92.92682926829269,,0
Feb,2,251,24.485537848605578,22.86,-2.0806772908366535,45.0199203187251,-7.887349397590363,17.269076305220885,3.3451195219123506,47.410358565737056,32.84213147410359,89.2430278884462,,0
Mar,3,385,26.191324675324676,25.67,13.416103896103898,75.58441558441558,17.296558441558442,59.22077922077922,3.7818831168831175,59.74025974025974,35.24454545454546,88.57142857142857,,0
Abr,4,203,21.388965517241374,21.16,-5.513054187192117,27.093596059113302,-22.445443349753695,0.49261083743842365,0.4179802955665031,59.11330049261084,30.52672413793104,95.07389162561576,,0
May,5,283,29.895053003533565,31.2,-5.467830882352941,33.82352941176471,-12.475090909090909,12.363636363636363,-10.205565371024734,33.56890459363957,-18.102826855123674,38.869257950530034,,0
Jun,6,528,27.75918560606061,27.23,-0.45558712121212136,52.083333333333336,1.111221590909091,42.42424242424242,2.8471117424242434,46.590909090909086,-30.398200757575758,23.863636363636363,,0
Jul,7,385,24.582207792207797,23.88,7.8412987012987,71.16883116883118,55.05233766233766,100.0,12.951818181818181,57.14285714285714,-35.774935064935065,18.181818181818183,,0
Ago,8,382,22.36442408376963,21.29,0.9170157068062827,52.617801047120416,-2.166950261780106,28.534031413612563,-20.716361256544502,25.916230366492147,-16.264332460732984,14.659685863874344,,0
Sep,9,474,27.43417721518988,26.91,1.647679324894515,49.36708860759494,1.3629746835443042,37.552742616033754,-36.69367088607595,8.649789029535865,-56.19789029535865,9.70464135021097,,0
Oct,10,289,30.556401384083042,29.98,8.570934256055363,70.93425605536332,5.3337370242214535,58.13148788927336,-73.88771626297577,5.536332179930796,-83.76075174825174,11.538461538461538,,0
Nov,11,344,23.790901162790696,23.93,-2.006104651162791,45.348837209302324,-18.156686046511627,13.08139534883721,-89.60174418604652,1.4534883720930232,-121.94144542772862,6.1946902654867255,,0
Dic,12,446,22.13219730941704,22.42,-5.641928251121077,18.609865470852018,-30.427242152466366,0.2242152466367713,-57.876345291479815,6.278026905829597,-49.48567351598173,16.210045662100455,,0
