Indicator,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Corr
FF_ATM,0.3619607153503045,2.1733737945619647e-299,0.2774854966567495,1.0006519487626206e-171,0.319723106003527
DTE2,0.33974105860549647,9.470705341970518e-262,0.24085560108347673,1.340992458505624e-128,0.2902983298444866
theta_per_dte1,0.2675615688215459,2.3678849764971604e-159,0.3105851154183702,7.439121190345718e-217,0.28907334211995805
DTE1,0.37356531426790124,2.7944e-320,0.17359528971766003,8.911448174653705e-67,0.2735803019927806
iv_theta_product,-0.23836385893196127,6.475606511408858e-126,-0.27975290531376373,1.257635060320155e-174,0.2590583821228625
theta_total,0.2230043951665138,4.691726484152687e-110,0.2742967767000669,1.0794757912818838e-167,0.24865058593329037
theta_delta_product,0.2170472474086562,3.232790336960267e-104,0.27058127215407735,4.616037530252766e-163,0.24381425978136678
dte_diff,0.23140258395777563,1.3948662318359085e-118,0.22994241565842904,4.488537819999073e-117,0.23067249980810234
iv_spread_per_dte,-0.20344221773724402,1.5750427031755686e-91,-0.23251529104866694,9.740760862230248e-120,0.2179787543929555
iv_k2,-0.20829037161708827,6.003002602847945e-96,-0.2051999745010865,4.056827656089415e-93,0.2067451730590874
theta_delta_iv_adjusted,0.03648097583160244,0.0003164274390644709,0.36398735799657006,5.634380017026459e-303,0.20023416691408624
iv_spread_total,-0.1483071773528699,4.9604620461112795e-49,-0.1970889688049155,6.575936259754349e-86,0.1726980730788927
PnLDV,0.11310103195037227,4.1816462725491754e-29,0.22690495157742144,5.679982705958131e-114,0.17000299176389685
iv_avg,-0.1592920386679997,2.212510839301808e-56,-0.17655767492246377,4.779597929227822e-69,0.16792485679523173
BQI_ABS,0.17310798217337994,2.0872083775018248e-66,0.15402623518021347,8.643491325048744e-53,0.1635671086767967
iv_dte_product,0.2669908714614055,1.1752932788439844e-158,0.04856242424329715,1.62349155815281e-06,0.15777664785235132
iv_k1,-0.14164326755554627,7.757477627553717e-45,-0.17359943723064578,8.847034804604887e-67,0.15762135239309602
price_iv_total,-0.11402468813763664,1.4735726115489933e-29,-0.1964930084875928,2.1644534057086385e-85,0.15525884831261472
iv_delta_product,-0.11628885416031987,1.1021064276422388e-30,-0.1908313080495468,1.4682234056657546e-80,0.15356008110493333
theta_delta_ratio,0.037163066641574004,0.0002436443159690666,0.2624228995287811,3.783484409636506e-153,0.14979298308517755
iv_weighted_dte,-0.1353208667385988,4.845651251739184e-41,-0.16156706710982538,5.6768015163780895e-58,0.14844396692421208
iv_std,-0.11548365710448127,2.7879113128648934e-30,-0.17722526968152577,1.4524312195013786e-69,0.1463544633930035
strike_iv_efficiency,0.20759399223973254,2.6304827708694645e-95,0.07846351535311145,8.804000620983132e-15,0.143028753796422
net_credit,0.1296611257578966,8.557495591018222e-38,0.1527728044322005,5.931157659452839e-52,0.14121696509504855
k1_otm,-0.17120486598555518,5.656721681564815e-65,-0.09712085927128468,7.435370646971943e-22,0.13416286262841992
strike_spread_total,0.1086876382241669,5.4250629906170356e-27,-0.15648198381882356,1.8935568188530898e-54,0.13258481102149522
theta_per_credit,0.04829449838883278,1.8522189201909852e-06,0.21298590579195478,2.4587484423096646e-100,0.1306402020903938
iv_k3,-0.1208363111881253,5.159597820146001e-33,-0.1389391720514594,3.427158528247696e-43,0.12988774161979233
iv_ratio_k1_k2,0.14970500924648197,6.171985174719613e-50,0.10517729127968635,2.2626356113701676e-25,0.12744115026308417
dte_ratio,0.10308533526703646,1.9712670124847467e-24,0.1371837153678944,3.8504677004226847e-42,0.12013452531746543
iv_theta_delta_combo,-0.0005251819189819129,0.9586644441968158,-0.2391277476029305,9.813254266077581e-127,0.11982646476095621
k2_otm,-0.18402313695558592,5.980503275595391e-75,-0.03484584649700658,0.0005818366162709184,0.10943449172629625
price_mid_short1,-0.021590884341747003,0.03308674261756484,-0.18475701798374503,1.5221718030139833e-75,0.10317395116274601
EarScore,0.1756162906839315,2.5428944016516072e-68,-0.02568700159370275,0.01123060421419953,0.10065164613881712
total_premium,-0.010609343756291217,0.295074680225512,-0.17631192538003854,7.401061231622119e-69,0.09346063456816488
strike_width_normalized,0.1708803939647865,9.890504900669516e-65,-0.015285356962586342,0.13140531260289207,0.09308287546368642
iv_skew,-0.08783075872926892,3.7971521424298746e-18,-0.08244702048648017,3.6246873432336854e-16,0.08513888960787455
price_mid_long2,-0.0017408142294095456,0.8635954096993926,-0.1660784923817905,3.3860500731182176e-61,0.08390965330560003
price_mid_short3,0.0920797540908895,8.500314422982294e-20,-0.06890848154853157,9.85555775705951e-12,0.08049411781971054
iv_cv,-0.08285695324122871,2.587440227124343e-16,-0.07644353296589845,4.182651058357723e-14,0.07965024310356358
delta_total,-0.03465192049851735,0.0006244013447680481,-0.12130483953266093,2.9338647709493534e-33,0.07797838001558914
pnldv_per_credit,0.009887237053381508,0.3291712927613095,0.14584605220877025,1.8524153917622354e-47,0.07786664463107588
SPX,-0.11108755802584211,3.9435601123509624e-28,-0.04184657472785884,3.6024324580573254e-05,0.07646706637685047
risk_reward_ratio,0.034532829480768745,0.0006519578510152462,-0.1126974034425858,6.578459083256833e-29,0.07361511646167727
dte_theta_efficiency,0.043371591712737974,1.8496314607616055e-05,-0.0989822899773319,1.2124980302579664e-22,0.07117694084503494
iv_time_weighted,-0.031307871788024515,0.00199821737443878,-0.08747286872133109,5.186911853086318e-18,0.059390370254677805
credit_per_premium,0.06740609530303016,2.7418420920968712e-11,0.03355935440887573,0.0009234421372610825,0.05048272485595294
structure_balance,-0.0640886460015718,2.4302938749839656e-10,-0.03355947159509348,0.0009234039225373595,0.04882405879833264
short_to_long_ratio,-0.0640886460015718,2.4302938749839656e-10,-0.03355947159509348,0.0009234039225373595,0.04882405879833264
k2_center_ratio,0.017249404392871828,0.0886707657164716,0.07412427910754481,2.3832524942385244e-13,0.04568684175020832
k1,-0.07911964398811039,5.261707446064128e-15,-0.00923354452208716,0.3621542754059136,0.044176594255098775
RATIO_BATMAN,0.04898563997178928,1.3165238016078288e-06,0.03822425506808464,0.0001608513141109114,0.04360494751993696
RATIO_UEL_EARS,-0.016258902985271783,0.10856437883072002,-0.07085321107715557,2.537328807741813e-12,0.04355605703121368
BQI_V2_ABS,0.01780658587668735,0.07884083223642216,-0.06096045923815905,1.7257159164897895e-09,0.0393835225574232
k3,-0.030880275783806536,0.0023016492761851917,-0.03478987239036871,0.0005938364869606862,0.03283507408708762
k2,-0.056774937120912944,2.051757271013114e-08,-0.0009115704436136727,0.9283174852188742,0.02884325378226331
FF_BAT,0.039162388707507836,0.00011046440660462366,0.015565599835031715,0.12447828657299666,0.027363994271269777
structure_stress,0.02764911785856476,0.006349148067232184,0.00509269706018463,0.6152483728668784,0.016370907459374695
