Indicator,Loser_P75,Winner_P25,Threshold_Danger,Threshold_Safe,Direction,Losers_Avg,Winners_Avg
FF_ATM,0.13819425,0.06736600000000001,0.13819425,0.06736600000000001,LOW,0.09155100212765957,0.186748123911211
DTE2,499.0,366.0,499.0,366.0,LOW,465.9686170212766,587.4846867097499
theta_per_dte1,-0.00028675684624755173,-0.0004961160973872192,-0.00028675684624755173,-0.0004961160973872192,LOW,-0.00049812873805824,-0.00020968823729125644
DTE1,347.0,247.0,347.0,247.0,LOW,311.9776595744681,369.33127282944645
iv_theta_product,0.033176046197,0.007872706689666668,0.033176046197,0.007872706689666668,HIGH,0.025524927334960815,0.015743047377339517
theta_total,-0.092956,-0.1504775,-0.092956,-0.1504775,LOW,-0.13682679574468085,-0.0650505613936499
theta_delta_product,-0.006608250984000001,-0.012469913589,-0.006608250984000001,-0.012469913589,LOW,-0.01288521560438351,-0.006615382238726608
dte_diff,175.0,91.0,175.0,91.0,LOW,153.99095744680852,218.15341388030345
iv_spread_per_dte,0.00026254761504557005,8.639378238341966e-05,0.00026254761504557005,8.639378238341966e-05,HIGH,0.00020045007415079902,0.0001617896355267146
iv_k2,0.20654825,0.123794,0.20654825,0.123794,HIGH,0.17649393351063827,0.14713272941837596
theta_delta_iv_adjusted,-0.21193516280448987,-0.23283772269682568,-0.21193516280448987,-0.23283772269682568,LOW,-0.22557267388534685,0.1278176659365873
iv_spread_total,0.071109,0.032882999999999996,0.071109,0.032882999999999996,HIGH,0.05818130957446809,0.04825637651025569
PnLDV,-73.78750000000001,-100.815,-73.78750000000001,-100.815,LOW,-98.93958510638296,-67.3541219443664
iv_avg,0.2096728333333333,0.12662983333333333,0.2096728333333333,0.12662983333333333,HIGH,0.1795136306737589,0.15318817120914113
BQI_ABS,1.266210975,0.78645162,1.266210975,0.78645162,LOW,7.237025129856384,88.91529419880585
iv_dte_product,65.9647235,36.860543,65.9647235,36.860543,LOW,56.424299243439705,56.790247041116416
iv_k1,0.247008,0.144177,0.247008,0.144177,HIGH,0.2101141340425532,0.18034408035965158
price_iv_total,158.58447965,70.66280915,158.58447965,70.66280915,HIGH,126.39288270268617,96.2154449799452
iv_delta_product,0.01892508672441667,0.007909736270500001,0.01892508672441667,0.007909736270500001,HIGH,0.014502183436712234,0.011041393652388876
theta_delta_ratio,-1.2178713428436858,-1.8130286804342328,-1.2178713428436858,-1.8130286804342328,LOW,-1.3404241990303458,0.41326664920643247
