Indicator,Winners_Mean,Losers_Mean,Diff,Diff_Pct,T_Stat,P_Value,Significant
BQI_ABS,88.91529419880585,7.237025129856384,81.67826906894948,1128.6166291171955,16.27078991999017,7.181617032964697e-58,True
theta_delta_iv_adjusted,0.1278176659365873,-0.22557267388534685,0.35339033982193413,156.66363027711145,5.654957340783916,1.6762671003892937e-08,True
theta_delta_ratio,0.41326664920643247,-1.3404241990303458,1.7536908482367783,130.8310346460014,6.203185185166008,6.135229573805577e-10,True
FF_ATM,0.186748123911211,0.09155100212765957,0.09519712178355144,103.98261031682394,27.55879141125226,1.6125409135905552e-156,True
k1_otm,0.004996796523352457,0.013030602089712927,-0.00803380556636047,-61.653371893711636,-10.570039920344884,7.343023655730678e-26,True
theta_per_credit,-0.0018117706642398399,-0.00442312087120737,0.00261135020696753,59.03863545684012,4.654209774704759,3.357312197565291e-06,True
theta_per_dte1,-0.00020968823729125644,-0.00049812873805824,0.00028844050076698354,57.904810288873506,28.211013068243005,1.2533029610788e-161,True
theta_total,-0.0650505613936499,-0.13682679574468085,0.07177623435103095,52.45773239107754,26.498956742901786,3.195415288082006e-144,True
theta_delta_product,-0.006615382238726608,-0.01288521560438351,0.006269833365656902,48.65912653820029,26.138254669416284,3.2259316493048325e-139,True
dte_diff,218.15341388030345,153.99095744680852,64.16245643349492,41.66637931039418,15.088038177796882,3.0721237333864757e-50,True
iv_theta_product,0.015743047377339517,0.025524927334960815,-0.009781879957621298,-38.322851341571955,-28.253447318587376,2.1726393159678744e-158,True
PnLDV,-67.3541219443664,-98.93958510638296,31.585463162016566,31.923989905612483,24.899206358932517,4.0513495755225106e-129,True
DTE2,587.4846867097499,465.9686170212766,121.5160696884733,26.07816605016658,16.22349547178629,8.96196957492885e-58,True
price_iv_total,96.2154449799452,126.39288270268617,-30.17743772274096,-23.87589955814784,-26.123759182863598,1.2320152118303845e-137,True
iv_delta_product,0.011041393652388876,0.014502183436712234,-0.0034607897843233586,-23.86392228057452,-24.152217925568593,9.424377125492149e-120,True
iv_spread_per_dte,0.0001617896355267146,0.00020045007415079902,-3.866043862408441e-05,-19.286816823524884,-15.096420030411501,2.212430157186334e-50,True
DTE1,369.33127282944645,311.9776595744681,57.35361325497837,18.383884709311452,13.831582322002342,8.671122174024234e-43,True
iv_spread_total,0.04825637651025569,0.05818130957446809,-0.009924933064212403,-17.058627825331378,-17.883810001952263,2.4748991061509453e-69,True
iv_k2,0.14713272941837596,0.17649393351063827,-0.02936120409226231,-16.635814902098346,-29.653046384377244,3.9530555774901284e-171,True
net_credit,-26.470785332958695,-31.02470744680851,4.553922113849815,14.678372460586326,19.3471739514888,2.463646594618073e-80,True
iv_avg,0.15318817120914113,0.1795136306737589,-0.026325459464617756,-14.664880525123255,-25.410195916969933,3.558079493766569e-131,True
iv_std,0.02506749281293262,0.029365855519291512,-0.0042983627063588915,-14.637280713770245,-14.98730009728136,1.0237515620576403e-49,True
iv_k1,0.18034408035965158,0.2101141340425532,-0.029770053682901615,-14.168515515892166,-22.663175361898684,4.331209360451702e-107,True
iv_weighted_dte,0.15621586690081393,0.18102344817375762,-0.02480758127294369,-13.704070673281961,-23.283138202098872,3.1510344501875097e-112,True
iv_k3,0.13208770384939592,0.15193282446808512,-0.019845120618689205,-13.061772983005298,-23.737189285580502,8.167901360317157e-116,True
strike_spread_total,1173.9617870188256,1302.0851063829787,-128.12331936415308,-9.839857528212024,-12.451447603734458,4.464225408373362e-35,True
dte_ratio,1.5976676040156224,1.467929523194762,0.12973808082086036,8.838168234296557,14.861030782767449,7.027752811369848e-49,True
strike_iv_efficiency,79.20477492411045,74.53321857319779,4.671556350912667,6.267750729595573,7.281323591184559,3.8016085365278526e-13,True
iv_ratio_k1_k2,1.21426962733703,1.188030099837273,0.026239527499756887,2.208658476191047,15.418950931995912,1.683058104499351e-52,True
iv_dte_product,56.790247041116416,56.424299243439705,0.3659477976767107,0.6485641870319877,0.44250196984079115,0.6581441901159385,False
